-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.885,  0.445
-183.742, 80.059, 1.033,  0.478
-183.718, 80.023, 1.133,  0.511
-183.689, 79.984, 1.264,  0.544
-183.657, 79.941, 1.407,  0.577
-183.620, 79.895, 1.546,  0.610
-183.578, 79.846, 1.674,  0.643
-183.534, 79.795, 1.772,  0.676
-183.486, 79.744, 1.824,  0.709
-183.436, 79.694, 1.846,  0.742
-183.384, 79.645, 1.847,  0.775
-183.332, 79.599, 1.842,  0.808
-183.279, 79.553, 1.841,  0.841
-183.227, 79.508, 1.837,  0.874
-183.174, 79.465, 1.828,  0.907
-183.122, 79.422, 1.814,  0.940
-183.071, 79.381, 1.795,  0.973
-183.020, 79.340, 1.771,  1.006
-182.971, 79.301, 1.744,  1.039
-182.922, 79.263, 1.713,  1.072
-182.874, 79.226, 1.679,  1.105
-182.827, 79.190, 1.642,  1.138
-182.782, 79.156, 1.570,  1.171
-182.739, 79.124, 1.515,  1.204
-182.697, 79.092, 1.481,  1.237
-182.655, 79.062, 1.465,  1.270
-182.613, 79.031, 1.478,  1.303
-182.570, 78.999, 1.528,  1.336
-182.525, 78.966, 1.609,  1.369
-182.478, 78.930, 1.701,  1.402
-182.429, 78.893, 1.773,  1.435
-182.379, 78.854, 1.820,  1.468
-182.329, 78.815, 1.843,  1.501
-182.280, 78.776, 1.845,  1.534
-182.231, 78.737, 1.830,  1.567
-182.184, 78.697, 1.828,  1.600
-182.141, 78.654, 1.808,  1.633
-182.103, 78.609, 1.767,  1.666
-182.068, 78.564, 1.715,  1.699
-182.036, 78.520, 1.631,  1.732
